id,城市id,名称,,
84775,205,临猗县,,
85176,205,万荣县,,
85477,205,闻喜县,,
85843,205,稷山县,,
86051,205,新绛县,,
86294,205,绛县,,
86518,205,垣曲县,,
86730,205,夏县,,
87003,205,平陆县,,
87245,205,芮城县,,
87436,205,永济市,,
87741,205,河津市,,
87921,271,忻府区,,
88360,271,定襄县,,
88526,271,五台县,,
89119,271,代县,,
89509,271,繁峙县,,
89935,271,宁武县,,
90427,271,静乐县,,
90823,271,神池县,,
91076,271,五寨县,,
91339,271,岢岚县,,
91554,271,河曲县,,
91909,271,保德县,,
92273,271,偏关县,,
92533,271,原平市,,
93099,192,尧都区,,
93560,192,曲沃县,,
93727,192,翼城县,,
93953,192,襄汾县,,
94321,192,洪洞县,,
94806,192,古县,,
94929,192,安泽县,,
95042,192,浮山县,,
95239,192,吉县,,
95327,192,乡宁县,,
95527,192,大宁县,,
95618,192,隰县,,
95727,192,永和县,,
95818,192,蒲县,,
95923,192,汾西县,,
96059,192,侯马市,,
96172,192,霍州市,,
96409,152,离石区,,
96627,152,文水县,,
96843,152,交城县,,
97004,152,兴县,,
97406,152,临县,,
98072,152,柳林县,,
98349,152,石楼县,,
98494,152,岚县,,
98676,152,方山县,,
98855,152,中阳县,,
98963,152,交口县,,
99067,152,孝义市,,
99512,152,汾阳市,,
99832,44,新城区,,
99916,44,回民区,,
99988,44,玉泉区,,
100095,44,赛罕区,,
100300,44,土默特左旗,,
100653,44,托克托县,,
100796,44,和林格尔县,,
100966,44,清水河县,,
101084,44,武川县,,
101199,107,东河区,,
101325,107,昆都仑区,,
101440,107,青山区,,
101568,107,石拐区,,
101601,107,白云鄂博矿区,,
101610,107,九原区,,
101691,107,土默特右旗,,
102002,107,固阳县,,
102124,107,达尔罕茂明安联合旗,,
102222,299,海勃湾区,,
102276,299,海南区,,
102303,299,乌达区,,
102338,181,红山区,,
102453,181,元宝山区,,
102576,181,松山区,,
102882,181,阿鲁科尔沁旗,,
103160,181,巴林左旗,,
103356,181,巴林右旗,,
103539,181,林西县,,
103664,181,克什克腾旗,,
103818,181,翁牛特旗,,
104080,181,喀喇沁旗,,
104263,181,宁城县,,
104617,181,敖汉旗,,
104885,275,科尔沁区,,
105453,275,科尔沁左翼中旗,,
106028,275,科尔沁左翼后旗,,
106362,275,开鲁县,,
106645,275,库伦旗,,
106851,275,奈曼旗,,
107242,275,扎鲁特旗,,
107520,275,霍林郭勒市,,
107558,194,东胜区,,
107704,194,达拉特旗,,
107870,194,准格尔旗,,
108070,194,鄂托克前旗,,
108161,194,鄂托克旗,,
108268,194,杭锦旗,,
108367,194,乌审旗,,
108455,194,伊金霍洛旗,,
108644,171,海拉尔区,,
108707,171,扎赉诺尔区,,
108735,171,阿荣旗,,
108956,171,莫力达瓦达斡尔族自治旗,,
109258,171,鄂伦春自治旗,,
109498,171,鄂温克族自治旗,,
109576,171,陈巴尔虎旗,,
109668,171,新巴尔虎左旗,,
109744,171,新巴尔虎右旗,,
109814,171,满洲里市,,
109850,171,牙克石市,,
109943,171,扎兰屯市,,
110186,171,额尔古纳市,,
110260,171,根河市,,
110295,295,临河区,,
110541,295,五原县,,
110701,295,磴口县,,
110817,295,乌拉特前旗,,
111002,295,乌拉特中旗,,
111121,295,乌拉特后旗,,
111188,295,杭锦后旗,,
111334,298,集宁区,,
111441,298,卓资县,,
111570,298,化德县,,
111679,298,商都县,,
111921,298,兴和县,,
112106,298,凉城县,,
112264,298,察哈尔右翼前旗,,
112405,298,察哈尔右翼中旗,,
112600,298,察哈尔右翼后旗,,
112713,298,四子王旗,,
112863,298,丰镇市,,
